GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
delivery-api,com.deliverytech.delivery.security.jwt,JwtUtil,206,7,10,0,47,2,19,2,14,2
delivery-api,com.deliverytech.delivery.security.jwt,SecurityUtils,45,16,2,2,15,4,12,2,10,2
delivery-api,com.deliverytech.delivery.security.jwt,JwtAuthenticationFilter,81,30,8,2,18,12,5,2,0,2
delivery-api,com.deliverytech.delivery.controller.auth,UsuarioController,45,3,0,0,8,1,4,1,4,1
delivery-api,com.deliverytech.delivery.controller.auth,AuthController,117,0,8,0,24,0,7,0,3,0
delivery-api,com.deliverytech.delivery.service.metrics,MetricsService,49,88,0,0,18,30,10,1,10,1
delivery-api,com.deliverytech.delivery.enums,StatusPedido,3,53,0,0,1,10,1,2,1,2
delivery-api,com.deliverytech.delivery.enums,Role,0,27,0,0,0,5,0,1,0,1
delivery-api,com.deliverytech.delivery.service,TracingService,145,10,0,0,42,4,4,2,4,2
delivery-api,com.deliverytech.delivery.service.audit,AuditService,182,12,0,0,44,3,3,2,3,2
delivery-api,com.deliverytech.delivery.validation,CpfValidator,111,0,18,0,24,0,12,0,3,0
delivery-api,com.deliverytech.delivery.validation,HorarioFuncionamentoValidator,86,0,22,0,20,0,17,0,6,0
delivery-api,com.deliverytech.delivery.validation,CategoriaValidator,82,0,4,0,6,0,6,0,4,0
delivery-api,com.deliverytech.delivery.validation,TelefoneValidator,29,0,8,0,6,0,7,0,3,0
delivery-api,com.deliverytech.delivery.validation,CEPValidator,27,0,4,0,7,0,6,0,4,0
delivery-api,com.deliverytech.delivery.health,ExternalServiceHealthIndicator,51,14,2,0,18,6,1,2,0,2
delivery-api,com.deliverytech.delivery.health,DatabaseHealthIndicator,22,32,2,2,8,11,2,2,0,2
delivery-api,com.deliverytech.delivery.service.alert,AlertService,131,81,9,5,28,22,8,8,1,8
delivery-api,com.deliverytech.delivery.controller,EnderecoController,0,40,0,0,0,8,0,3,0,3
delivery-api,com.deliverytech.delivery.controller,ProdutoController,116,3,0,0,23,1,8,1,8,1
delivery-api,com.deliverytech.delivery.controller,PedidoController,151,3,0,0,32,1,9,1,9,1
delivery-api,com.deliverytech.delivery.controller,ClienteController,82,3,0,0,16,1,6,1,6,1
delivery-api,com.deliverytech.delivery.controller,RestauranteController,141,3,0,0,27,1,9,1,9,1
delivery-api,com.deliverytech.delivery.controller,DashboardController,127,9,6,0,22,4,9,1,6,1
delivery-api,com.deliverytech.delivery.controller,RelatorioController,64,6,0,0,12,3,4,1,4,1
delivery-api,com.deliverytech.delivery.service.auth,AuthService,129,11,2,0,26,2,8,1,7,1
delivery-api,com.deliverytech.delivery.service.impl,ClienteServiceImpl,219,3,16,0,42,1,20,1,12,1
delivery-api,com.deliverytech.delivery.service.impl,UsuarioServiceImpl,83,6,4,0,17,3,8,1,6,1
delivery-api,com.deliverytech.delivery.service.impl,RelatorioServiceImpl,422,3,56,0,104,1,40,1,12,1
delivery-api,com.deliverytech.delivery.service.impl,PedidoServiceImpl,1031,3,117,0,206,1,89,1,28,1
delivery-api,com.deliverytech.delivery.service.impl,EnderecoServiceImpl,6,34,0,0,0,8,1,2,1,2
delivery-api,com.deliverytech.delivery.service.impl,ProdutoServiceImpl,467,3,34,0,99,1,33,1,16,1
delivery-api,com.deliverytech.delivery.service.impl,RestauranteServiceImpl,554,3,58,0,104,1,50,1,21,1
delivery-api,com.deliverytech.delivery.entity,Produto,0,13,0,0,0,4,0,1,0,1
delivery-api,com.deliverytech.delivery.entity,ItemPedido,25,8,6,0,4,3,4,1,1,1
delivery-api,com.deliverytech.delivery.entity,ItemOpcional,0,3,0,0,0,2,0,1,0,1
delivery-api,com.deliverytech.delivery.entity,Endereco,30,0,0,0,11,0,1,0,1,0
delivery-api,com.deliverytech.delivery.entity,Restaurante,0,4,0,0,0,2,0,1,0,1
delivery-api,com.deliverytech.delivery.entity,Pedido,62,0,4,0,17,0,6,0,4,0
delivery-api,com.deliverytech.delivery.entity,ItemPedidoOpcional,22,3,4,0,7,2,3,1,1,1
delivery-api,com.deliverytech.delivery.entity,GrupoOpcional,0,14,0,0,0,5,0,1,0,1
delivery-api,com.deliverytech.delivery.entity,Usuario,78,56,0,0,22,17,16,11,16,11
delivery-api,com.deliverytech.delivery.entity,Cliente,24,8,0,0,7,3,1,1,1,1
delivery-api,com.deliverytech.delivery.dto.response,CalculoPedidoDTO,22,0,0,0,6,0,5,0,5,0
delivery-api,com.deliverytech.delivery.dto.response,ApiResponseWrapper,63,0,0,0,19,0,12,0,12,0
delivery-api,com.deliverytech.delivery.dto.response,PagedResponseWrapper.PageInfo,39,0,0,0,14,0,7,0,7,0
delivery-api,com.deliverytech.delivery.dto.response,ErrorResponse,70,0,0,0,30,0,16,0,16,0
delivery-api,com.deliverytech.delivery.dto.response,PagedResponseWrapper.PageLinks,59,0,4,0,13,0,7,0,5,0
delivery-api,com.deliverytech.delivery.dto.response,CalculoPedidoResponseDTO,24,0,0,0,7,0,7,0,7,0
delivery-api,com.deliverytech.delivery.dto.response,RestauranteResponseDTO,52,0,0,0,15,0,15,0,15,0
delivery-api,com.deliverytech.delivery.dto.response,ProdutoResponseDTO,183,0,6,0,49,0,25,0,22,0
delivery-api,com.deliverytech.delivery.dto.response,PagedResponseWrapper,39,0,0,0,14,0,4,0,4,0
delivery-api,com.deliverytech.delivery.dto.response,ClienteResponseDTO,59,0,0,0,17,0,17,0,17,0
delivery-api,com.deliverytech.delivery.dto.response,PedidoResponseDTO,66,0,0,0,19,0,19,0,19,0
delivery-api,com.deliverytech.delivery.dto.relatorio,RelatorioProdutosDTO,46,0,0,0,15,0,10,0,10,0
delivery-api,com.deliverytech.delivery.dto.relatorio,RelatorioPedidosDTO,81,0,2,0,24,0,17,0,16,0
delivery-api,com.deliverytech.delivery.dto.relatorio,RelatorioClientesDTO,36,0,0,0,12,0,8,0,8,0
delivery-api,com.deliverytech.delivery.dto.relatorio,RelatorioVendasDTO,36,0,0,0,12,0,8,0,8,0
delivery-api,com.deliverytech.delivery.dto.auth,UserResponse,92,0,2,0,28,0,17,0,16,0
delivery-api,com.deliverytech.delivery.dto.auth,LoginResponse,59,0,0,0,24,0,12,0,12,0
